City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Milkovo,RU,54.7167,158.6167,61.32,42,26,4.83,scattered clouds
117,Goure,NE,13.9835,10.2704,80.89,11,0,6.98,clear sky
118,Tezu,IN,27.9167,96.1667,76.39,98,95,1.1,overcast clouds
119,Kenai,US,60.5544,-151.2583,78.03,24,0,10.36,clear sky
120,Hasaki,JP,35.7333,140.8333,79.29,73,98,19.93,overcast clouds
121,Baijiantan,CN,45.6333,85.1833,68.79,33,11,9.69,few clouds
122,Faya,SA,18.3851,42.4509,63.12,20,73,6.62,broken clouds
123,Oranjestad,AW,12.524,-70.027,80.15,84,61,21.7,broken clouds
124,Zakamensk,RU,50.3741,103.2863,55.72,65,100,5.41,overcast clouds
125,Lagoa,PT,39.05,-27.9833,62.82,92,29,9.33,scattered clouds
126,Noyabrsk,RU,63.1994,75.4507,32.68,75,100,21.83,light snow
127,Saurimo,AO,-9.6608,20.3916,59.45,50,26,8.77,scattered clouds
128,Birjand,IR,32.8663,59.2211,71.15,18,0,20.49,clear sky
129,Hilo,US,19.7297,-155.09,83.28,97,100,4.61,mist
130,Cabo San Lucas,MX,22.8909,-109.9124,79.9,66,0,13.2,clear sky
131,Bengkulu,ID,-3.8004,102.2655,82.31,67,100,1.23,overcast clouds
132,Kropotkin,RU,45.4375,40.5756,63.93,69,31,10.49,scattered clouds
133,Faanui,PF,-16.4833,-151.75,79.63,77,100,11.92,light rain
134,Haines Junction,CA,60.7522,-137.5108,71.85,22,97,5.01,overcast clouds
135,Daru,PG,-9.0763,143.2092,82.08,83,52,15.75,broken clouds
136,Luderitz,NA,-26.6481,15.1594,68.13,27,0,14.29,clear sky
137,Hambantota,LK,6.1241,81.1185,83.32,71,60,20.62,broken clouds
138,Erenhot,CN,43.6475,111.9767,81.68,25,100,7.72,overcast clouds
139,Sioux Lookout,CA,50.1001,-91.917,39.99,89,100,7.4,light rain
140,Paraiba Do Sul,BR,-22.1619,-43.2928,67.91,93,88,4.0,overcast clouds
141,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,86,0,4.0,clear sky
142,Shishou,CN,29.7226,112.419,79.16,88,99,7.09,moderate rain
143,Lujan,AR,-34.5703,-59.105,45.95,83,0,4.27,clear sky
144,Thompson,CA,55.7435,-97.8558,34.56,97,100,11.9,overcast clouds
145,Srednekolymsk,RU,67.45,153.6833,58.03,31,91,8.08,overcast clouds
146,Les Cayes,HT,18.2,-73.75,76.84,88,68,3.62,broken clouds
147,Bethel,US,41.3712,-73.414,67.35,91,100,1.01,overcast clouds
148,Cherskiy,RU,68.75,161.3,41.2,66,100,15.1,overcast clouds
149,Bereznik,RU,62.8551,42.7072,64.99,70,44,5.91,scattered clouds
150,Tasiilaq,GL,65.6145,-37.6368,30.36,85,19,5.32,few clouds
151,Montmagny,FR,48.9734,2.3469,62.24,60,0,8.05,clear sky
152,Neuquen,AR,-38.9516,-68.0591,31.89,100,0,0.0,clear sky
153,Ulaangom,MN,49.9811,92.0667,58.19,27,4,7.09,clear sky
154,Alta Floresta,BR,-9.8756,-56.0861,76.12,70,100,2.77,overcast clouds
155,Husavik,IS,66.0449,-17.3389,46.54,86,100,5.46,overcast clouds
156,Voh,NC,-20.9667,164.7,78.89,57,79,9.1,broken clouds
157,Nizhniy Tsasuchey,RU,50.5167,115.1333,52.72,83,100,9.95,moderate rain
158,Aksarka,RU,66.5606,67.7975,33.85,60,100,24.45,overcast clouds
159,Coldwater,US,41.9403,-85.0005,60.89,67,0,4.61,clear sky
160,Klaksvik,FO,62.2266,-6.589,40.12,81,52,7.27,broken clouds
161,Sassandra,CI,4.95,-6.0833,76.42,92,62,5.61,broken clouds
162,Geraldton,AU,-28.7667,114.6,68.41,56,0,12.66,clear sky
163,Puerto Ayora,EC,-0.7393,-90.3518,71.55,96,100,4.0,overcast clouds
164,Albany,US,42.6001,-73.9662,65.39,83,94,3.58,overcast clouds
165,San Martin,AR,-33.081,-68.4681,43.81,55,48,6.89,scattered clouds
166,Liwonde,MW,-15.0506,35.2035,56.53,95,26,3.22,scattered clouds
167,Pochutla,MX,15.7432,-96.4661,75.81,87,95,1.07,overcast clouds
168,Tazmalt,DZ,36.3868,4.3989,81.18,29,93,4.12,overcast clouds
169,Yulara,AU,-25.2406,130.9889,62.06,39,0,9.89,clear sky
170,Usevya,TZ,-7.1,31.2333,63.61,70,27,8.72,scattered clouds
171,Kano,NG,12.0001,8.5167,79.23,46,18,10.51,few clouds
172,Darnah,LY,32.767,22.6367,72.3,69,0,15.66,clear sky
173,Chepareria,KE,1.3077,35.2039,56.39,68,9,4.14,clear sky
174,Asau,RO,46.4333,26.4,60.28,96,18,4.56,few clouds
175,Brigantine,US,39.4101,-74.3646,70.2,98,100,3.44,overcast clouds
176,Mahebourg,MU,-20.4081,57.7,71.26,64,12,14.14,few clouds
177,Westport,US,41.1415,-73.3579,67.55,96,100,10.36,overcast clouds
178,Sao Filipe,CV,14.8961,-24.4956,76.33,72,45,10.71,scattered clouds
179,Buchanan,LR,5.8808,-10.0467,77.76,87,84,4.03,broken clouds
180,Athabasca,CA,54.7169,-113.2854,55.94,69,38,4.94,scattered clouds
181,Tuatapere,NZ,-46.1333,167.6833,48.31,81,100,8.93,overcast clouds
182,Kewanee,US,41.2456,-89.9248,64.44,68,5,6.2,clear sky
183,Ostrovnoy,RU,68.0531,39.5131,45.23,70,100,17.65,overcast clouds
184,Adwa,ET,14.1646,38.8955,66.6,29,42,2.57,scattered clouds
185,Opuwo,NA,-18.0607,13.84,53.35,42,5,10.63,clear sky
186,Ulladulla,AU,-35.35,150.4667,54.77,44,98,9.48,overcast clouds
187,Khatanga,RU,71.9667,102.5,51.55,67,65,12.77,broken clouds
188,Isla Vista,US,34.4133,-119.861,74.34,63,0,4.61,clear sky
189,Honiara,SB,-9.4333,159.95,86.85,65,51,7.27,broken clouds
190,Berezovyy,RU,51.6667,135.7,46.33,94,100,2.95,overcast clouds
191,Balotra,IN,25.8333,72.2333,87.44,45,13,15.93,few clouds
192,Ribeira Grande,PT,38.5167,-28.7,63.99,91,86,7.99,overcast clouds
193,Bethanien,NA,-26.502,17.1583,49.87,36,0,5.48,clear sky
194,Luebo,CD,-5.35,21.4167,69.64,69,25,1.07,scattered clouds
195,Lebu,CL,-37.6167,-73.65,50.77,77,100,13.2,overcast clouds
196,Bay-Khaak,RU,51.1667,94.5,56.91,28,5,10.58,clear sky
